       y             x1           x2
     0.260000     0.940025     0.057528
     0.300000     0.786939     0.180408
     0.490000     0.632121     0.264241
     0.860000     0.517913     0.294783
     1.290000     0.432332     0.296997
     1.680000     0.367166     0.285081
     2.290000     0.277086     0.246889
     2.850000     0.198652     0.191914
     3.630000     0.066667     0.066666
